Box_conveyor;Part_conveyor;Grab;C_plus;Auto;Manual;Emergency_stop;Reset_button;Start;Stop;Part_at_place;Box_at_place;Detected;C_limit;Temps_occurrence
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58831155010
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58831201271
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58831313522
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58831442994
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58831460983
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58831605892
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58831637873
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58831684843
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58831778785
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58831811764
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58831959675
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58832022493
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58832063477
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58832091460
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58832123119
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58832156098
false;true;true;false;true;false;true;false;false;true;true;false;true;true;58832187083
